"ID","DEPENDENCIES","TYPE","POINTS","PRIORITY","STATUS","CATEGORY","ITEM","KEYWORDS"
"0001","","0.1.0","3","2","DONE","CLI","Add command parsing for add subcommand","commands, parsing"
"0002","","0.1.0","2","2","DONE","CLI","Maintain backwards compatibility with vnow syntax","compatibility, parsing"
"0003","","0.0.1","1","2","DONE","CLI","Update help text to show both syntaxes","help, documentation"
"0004","","0.1.0","3","2","DONE","CLI","Add command parsing for remove subcommand","commands, parsing"
"0005","","0.1.0","2","2","DONE","FILES","Remove downloaded documentation files","cleanup, files"
"0006","","0.1.0","2","2","DONE","FILES","Update .vnow/.v file to remove entry","metadata, files"
"0007","","0.1.0","5","2","DONE","VSCODE","vnow enable command - add to Copilot context","integration, vscode"
"0008","","0.1.0","5","2","DONE","VSCODE","vnow disable command - remove from Copilot context","integration, vscode"
"0009","","0.1.0","8","2","DONE","VSCODE","Auto-modify .vscode/settings.json workspace file","automation, vscode"
"0010","","0.1.0","5","2","DONE","VSCODE","Append to github.copilot.chat.codeGeneration.instructions array","integration, settings"
"0011","","0.1.0","3","2","DONE","VSCODE","Preserve existing settings (don't overwrite)","safety, settings"
"0012","","0.1.0","3","2","DONE","VSCODE","Use /* VERSIONNOW */ markers for managed content","markers, management"
"0013","","0.1.0","5","2","DONE","VSCODE","Handle files.associations and github.copilot.enable settings","settings, integration"
"0014","","0.1.0","2","3","NEW","CLI","Read from .vnow/.v file","metadata, files"
"0015","0014","0.1.0","3","3","NEW","CLI","Display installed repositories in formatted list","formatting, display"
"0016","0015","0.1.0","2","3","NEW","CLI","Show last updated timestamps if available","timestamps, metadata"
"0017","0014","0.1.0","8","3","NEW","CLI","Re-download and convert all repositories in .vnow/.v","sync, repositories"
"0018","0017","0.1.0","3","3","NEW","CLI","Show progress for each repository","progress, ux"
"0019","0017","0.1.0","5","3","NEW","CLI","Handle errors gracefully for individual repos","error, handling"
"0020","","0.1.0","5","2","DONE","CLI","Update the vnow CLI tool itself","upgrade, cli"
"0021","","0.1.0","3","2","DONE","CLI","Replace current dev:update workflow for end users","workflow, upgrade"
"0022","","0.1.0","5","2","DONE","CLI","Check for latest version and prompt user","version, prompts"
"0023","","0.1.0","3","2","DONE","CONFIG","Auto-write entries when downloading repos","automation, metadata"
"0024","","0.1.0","3","2","DONE","CONFIG","Auto-remove entries when using vnow remove","automation, cleanup"
"0025","","0.1.0","2","2","DONE","CONFIG","Sort entries alphabetically","sorting, organization"
"0026","","0.1.0","2","2","DONE","CONFIG","Handle file creation if it doesn't exist","safety, files"
"0027","","1.0.0","8","2","DONE","CONFIG","Replace .vnow/.v with .vnow/metadata.json","migration, metadata"
"0028","","0.1.0","5","2","DONE","CONFIG","Add semantic versioning integration","versioning, integration"
"0029","","0.1.0","3","2","DONE","CONFIG","Use versioned filenames (user-repo@1.0.0.md)","naming, versioning"
"0030","","0.1.0","5","2","DONE","CONFIG","Add GitHub API version detection","api, detection"
"0031","","0.1.0","2","2","DONE","BUILD","Claim npm name vnow","publishing, npm"
"0032","","0.1.0","1","2","DONE","BUILD","Keep GitHub repo private","security, repository"
"0033","","0.1.0","1","2","DONE","BUILD","Retain deno.json as project config","config, deno"
"0034","","0.1.0","2","2","DONE","BUILD","Add README.md and LICENSE at root","documentation, legal"
"0035","","0.1.0","2","2","DONE","BUILD","Rename GitHub repo from cli to vnow","repository, naming"
"0036","","0.1.0","2","2","DONE","BUILD","Install @deno/dnt using JSR","dependencies, build"
"0037","","0.1.0","5","2","DONE","BUILD","Create scripts/build.ts to build npm/ from Deno","build, automation"
"0038","","0.1.0","2","2","DONE","BUILD","Add build task to deno.json","tasks, build"
"0039","","0.1.0","2","2","DONE","BUILD","deno task build runs scripts/build.ts","automation, tasks"
"0040","","0.1.0","8","2","DONE","BUILD","Configure dnt to auto-generate package.json with CLI binary","automation, packaging"
"0041","","0.1.0","3","2","DONE","BUILD","package.json auto-generated by @deno/dnt","automation, packaging"
"0042","","0.1.0","1","2","DONE","BUILD","Ignore /npm output in .gitignore","git, cleanup"
"0043","","0.1.0","2","2","DONE","BUILD","Add Node.js shebang for CLI execution","compatibility, nodejs"
"0044","","0.1.0","3","2","DONE","PUBLISH","Confirm CLI works via deno task build && cd npm && npm link","testing, publishing"
"0045","","0.1.0","3","2","DONE","PUBLISH","cd npm && npm publish --tag next --access public to claim vnow","publishing, npm"
